Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
George D. Nelson,1978,8,Retired,1950-07-13,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Major,US Air Force,3,411,2,10.0,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
George D. Zamka,1998,17,Retired,1962-06-29,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,Colonel,US Marine Corps (Retired),2,692,0,0.0,"STS-120 (Discovery), STS-130 (Endeavor)",,
Gerald P. Carr,1966,5,Retired,1932-08-22,"Denver, CO",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,2017,3,16.0,Skylab 4,,
Gregory B. Jarvis,1966,5,Deceased,1944-08-24,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,Colonel,US Marine Corps (Retired),1,0,0,0.0,STS 51-L (Challenger),1986-01-28,STS 51-L (Challenger)
Gregory C. Johnson,1998,17,Management,1954-07-30,"Seattle, WA",Male,University of Washington,Aerospace Engineering,Electrical Engineering,Captain,US Navy (Retired),1,309,0,0.0,STS-125 (Atlantis),,
Gregory E. Chamitoff,1998,17,Active,1962-08-06,"Montreal, Canada",Male,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),2,4770,2,13.0,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Gregory H. Johnson,1998,17,Active,1962-05-12,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,Colonel,US Air Force (Retired),2,755,0,0.0,"STS-123 (Endeavor), STS-134 (Endeavor)",,
Gregory J. Harbaugh,1987,12,Retired,1956-04-15,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,Colonel,US Air Force (Retired),4,817,3,18.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Gregory T. Linteris,1987,12,Retired,1957-10-04,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,Colonel,US Air Force (Retired),2,471,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,
Guion S. Bluford Jr.,1978,8,Retired,1942-11-22,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,Colonel,US Air Force (Retired),4,689,0,0.0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
Guy S. Gardner,1980,9,Retired,1948-01-06,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0.0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Harrison H. Schmitt,1965,4,Retired,1935-07-03,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,Colonel,US Air Force (Retired),1,301,3,22.0,Apollo 17,,
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,1963-02-07,"St. Paul, MN",Female,MIT,Mechanical Engineering,Geology,Captain,US Navy,2,663,2,33.0,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Henry W. Hartsfield Jr.,1969,7,Retired,1933-11-21,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0.0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Jack D. Fischer,2009,20,Active,1974-01-23,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force (Retired),0,0,0,0.0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",,
Jack R. Lousma,1966,5,Retired,1936-02-29,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11.0,"Skylab 3, STS-3 (Columbia)",,
Jake Garn,1966,5,Retired,1932-10-12,Richfield. UT,Male,University of Utah,Business Finance,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,167,0,0.0,STS 51-D (Discovery),,
James A. Lovell Jr.,1962,2,Retired,1928-03-25,"Cleveland, OH",Male,US Naval Academy,Business Finance,Aeronautical Engineering,Captain,US Navy (Retired),4,715,0,0.0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
James A. McDivitt,1984,2,Retired,1929-06-10,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,Aeronautical Engineering,Brigadier General,US Air Force (Retired),2,338,0,0.0,"Gemini 4, Apollo 9",,
James A. Pawelczyk,1984,2,Retired,1960-09-20,"Buffalo, NY",Male,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,Brigadier General,US Air Force (Retired),1,381,0,0.0,STS-90 (Columbia),,
James B. Irwin,1966,5,Deceased,1930-03-17,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20.0,Apollo 15,1991-08-08,Natural causes
James C. Adamson,1984,10,Retired,1946-03-03,"Warsaw, NY",Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0.0,"STS-28 (Columbia), STS-43 (Atlantis)",,
James D. Halsell Jr.,1990,13,Retired,1956-09-29,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0.0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
James D. van Hoften,1978,8,Retired,1944-06-11,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,Colonel,US Air Force (Retired),2,338,4,22.0,"STS 41-C (Challenger), STS 51-I (Discovery)",,
James D. Wetherbee,1984,10,Retired,1952-11-27,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,Hydraulic Engineering; Fluid Mechanics,Captain,US Navy (Retired),6,1594,0,0.0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
James F. Buchli,1978,8,Retired,1945-06-20,"New Rockford, ND",Male,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0.0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
James F. Reilly II,1995,15,Retired,1954-03-18,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,Colonel,US Marine Corps (Retired),3,854,5,31.0,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
James H. Newman,1990,13,Retired,1956-10-16,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,Colonel,US Marine Corps (Retired),4,1042,6,43.0,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
James M. Kelly,1996,16,Management,1964-05-14,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0.0,"STS-102 (Discovery), STS-114 (Discovery)",,
James P. Bagian,1980,9,Retired,1952-02-22,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,Colonel,US Air Force (Retired),2,337,0,0.0,"STS-29 (Discovery), STS-40 (Columbia)",,
James P. Dutton Jr.,2004,19,Management,1968-11-20,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0.0,STS-131 (Discovery),,
James S. Voss,1987,12,Retired,1949-03-03,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22.0,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Janet L. Kavandi,1995,15,Management,1959-07-17,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,Colonel,US Army (Retired),3,812,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
Janice E. Voss,1990,13,Deceased,1956-10-08,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,Colonel,US Army (Retired),5,1179,0,0.0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2012-02-06,Natural causes
Jay Clark Buckey,1990,13,Retired,1956-06-06,"New York, NY",Male,Cornell University,Electrical Engineering,Medicine,Colonel,US Army (Retired),1,381,0,0.0,STS-90 (Columbia),,
Jeanette J. Epps,2009,20,Active,1970-11-03,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,Colonel,US Army (Retired),0,0,0,0.0,STS-90 (Columbia),,
Jeffrey A. Hoffman,1978,8,Retired,1944-11-02,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,Colonel,US Army (Retired),5,1211,4,25.0,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Jeffrey N. Williams,1996,16,Active,1958-01-18,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32.0,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Jeffrey S. Ashby,1995,15,Retired,1954-06-01,"Dallas, TX",Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0.0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
Jerome Apt III,1985,11,Retired,1949-04-18,"Springfield, MA",Male,Harvard University; MIT,Physics,Physics,Captain,US Navy (Retired),4,847,2,11.0,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Jerry L. Ross,1980,9,Retired,1948-01-20,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58.0,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Jerry M. Linenger,1992,14,Retired,1955-01-16,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5.0,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Joan E. Higginbotham,1996,16,Retired,1964-08-03,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,Captain,US Navy (Retired),1,308,0,0.0,STS-116 (Discovery),,
Joe F. Edwards Jr.,1995,15,Retired,1958-02-03,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0.0,STS-89 (Endeavor),,
Joe H. Engle,1966,5,Retired,1932-08-26,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,Aviation Systems,Major General,US Air Force (Retired),2,224,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",,
John A. Llewellyn,1967,6,Retired,1933-04-22,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,Major General,US Air Force (Retired),0,0,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",,
John B. Herrington,1996,16,Retired,1958-09-14,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20.0,STS-113 (Endeavor),,
John D. Olivas,1998,17,Retired,1966-05-25,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,Commander,US Navy (Retired),2,665,5,34.0,"STS-117 (Atlantis), STS-128 (Discovery)",,
John E. Blaha,1980,9,Retired,1942-08-26,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0.0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
John H. Casper,1984,10,Management,1943-07-09,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0.0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
John H. Glenn Jr.,1959,1,Deceased,1921-07-18,"Cambridge, OH",Male,Muskingum College,Engineering,Astronautics,Colonel,US Marine Corps (Retired),2,218,0,0.0,"Mercury 6, STS-95 (Discovery)",2016-12-08,Complications from surgery
John L. Phillips,1996,16,Retired,1951-04-15,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5.0,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
John L. Swigert Jr.,1966,5,Deceased,1931-08-30,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,Captain,US Naval Reserves (Retired),1,142,0,0.0,Apollo 13,1982-12-27,Natural causes
John M. Fabian,1978,8,Retired,1939-01-28,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0.0,"STS-7 (Challenger), STS 51-G (Discovery)",,
John M. Grunsfeld,1992,14,Management,1958-10-10,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,Colonel,US Air Force (Retired),5,1407,8,58.0,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
John O. Creighton,1978,8,Retired,1943-04-28,"Orange, TX",Male,US Naval Academy; George Washington University,Physics,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0.0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
John W. Young,1962,2,Retired,1930-09-24,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),6,835,3,20.0,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
John-David F. Bartoe,1962,2,Retired,1944-11-17,"Abington, PA",Male,Lehigh University; Georgetown University,Physics,Physics,Captain,US Navy (Retired),1,190,0,0.0,STS 51-F (Challenger),,
Jon A. McBride,1978,8,Retired,1943-08-14,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,Physics,Captain,US Navy (Retired),1,197,0,0.0,STS 41-G (Challenger),,
Jose M. Hernandez,2004,19,Retired,1962-08-07,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,Captain,US Navy (Retired),1,332,0,0.0,STS-128 (Discovery),,
Joseph M. Acaba,2004,19,Active,1967-05-17,"Inglewood, CA",Male,University of California-Santa Barbara; University of Arizona,Geology,Geology,Captain,US Navy (Retired),2,3307,2,13.0,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
Joseph P. Allen,1967,6,Retired,1937-06-27,"Crawsfordsville, IN",Male,DePauw University; Yale University,Mathematics & Physics,Physics,Captain,US Navy (Retired),2,313,2,12.0,"ST-5 (Columbia), STS 51-A (Discovery)",,
Joseph P. Kerwin,1965,4,Retired,1932-02-19,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3.0,Skylab 2,,
Joseph R. Tanner,1992,14,Retired,1950-01-21,"Danville, IL",Male,University of Illinois,Mechanical Engineering,Medicine,Captain,US Navy (Retired),4,1045,7,46.0,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Judith A. Resnik,1978,8,Deceased,1949-04-05,"Akron, OH",Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,Captain,US Navy (Retired),2,144,0,0.0,"STS 41-D (Discovery), STS 51-L (Challenger)",1986-01-28,STS 51-L (Challenger)
K. Megan McArthur,2000,18,Active,1971-08-30,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,Captain,US Navy (Retired),1,309,0,0.0,STS-125 (Atlantis),,
Kalpana Chawla,1995,15,Deceased,1961-06-01,"Karnal, India",Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,Captain,US Navy (Retired),2,734,0,0.0,"STS-87 (Columbia), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
Karen L. Nyberg,2000,18,Active,1969-10-07,"Parker’s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,Captain,US Navy (Retired),2,4320,0,0.0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Karl G. Henize,1967,6,Deceased,1926-10-17,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,Captain,US Navy (Retired),1,190,0,0.0,STS 51-F (Challenger),1993-10-05,Natural causes
Karol J. Bobko,1969,7,Retired,1937-12-23,"New York, NY",Male,US Air Force Academy; University of Southern California,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0.0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
Kathleen Rubins,2009,20,Active,1978-10-14,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,Colonel,US Air Force (Retired),1,2762,2,13.0,ISS-48/49 (Soyuz),,
Kathryn C. Thornton,1984,10,Retired,1952-08-17,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,Colonel,US Air Force (Retired),4,975,3,21.0,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
Kathryn D. Sullivan,1978,8,Retired,1951-10-03,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,Colonel,US Air Force (Retired),3,532,1,3.0,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Kathryn P. Hire,1995,15,Management,1959-08-26,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0.0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Kenneth D. Bowersox,1987,12,Retired,1956-11-14,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Kenneth D. Cameron,1984,10,Retired,1949-11-29,"Cleveland, OH",Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Colonel,US Marine Corps (Retired),3,562,0,0.0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Kenneth D. Cockrell,1990,13,Management,1950-04-09,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,Colonel,US Naval Reserves,5,1548,0,0.0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Kenneth S. Reightler Jr.,1987,12,Retired,1951-03-24,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0.0,"STS-48 (Discovery), STS-60 (Discovery)",,
Kenneth T. Ham,1998,17,Retired,1964-12-12,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0.0,"STS-124 (Discovery), STS-132 (Atlantis)",,
Kent V. Rominger,1992,14,Retired,1956-08-07,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0.0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Kevin A. Ford,2000,18,Active,1960-07-07,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0.0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Kevin P. Chilton,1987,12,Retired,1954-03-11,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0.0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
Kevin R. Kregel,1992,14,Retired,1956-09-16,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,Brigadier General,US Air Force (Retired),4,1265,0,0.0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
Kjell N. Lindgren,2009,20,Active,1973-01-23,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,Brigadier General,US Air Force (Retired),1,3400,2,15.0,ISS-44/45 (Soyuz),,
L. Blaine Hammond Jr.,1984,10,Retired,1952-01-16,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",,
L. Gordon Cooper Jr.,1959,1,Deceased,1927-03-06,"Shawnee, OK",Male,Air Force Institute of Technology,Aeronautical Engineering,Engineering Science,Colonel,US Air Force (Retired),2,225,0,0.0,"Mercury 9, Gemini 5",2004-10-04,Natural causes
Laurel B. Clark,1996,16,Deceased,1961-03-10,"Ames, IA",Female,University of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0.0,STS-107 (Columbia),2003-02-01,STS-107 (Columbia)
Lawrence J. Delucas,1996,16,Retired,1950-07-11,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,Captain,US Navy,1,331,0,0.0,STS-50 (Columbia),,
Lee J. Archambault,1998,17,Retired,1960-08-25,"Oak Park, IL",Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0.0,"STS-117 (Atlantis), STS-119 (Discovery)",,
Lee M. Morin,1996,16,Management,1952-09-09,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Captain,US Navy,1,259,2,14.0,STS-110 (Atlantis),,
Leland D. Melvin,1998,17,Management,1964-02-15,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,Captain,US Navy,2,565,0,0.0,"STS-122 (Atlantis), STS-129 (Atlantis)",,
Leroy Chiao,1990,13,Retired,1960-08-28,"Milwaukee, WI",Male,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,Captain,US Navy,4,5503,6,36.0,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Linda M. Godwin,1985,11,Retired,1952-07-02,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,Captain,US Navy,4,918,2,10.0,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Lisa M. Nowak,1996,16,Retired,1963-05-10,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0.0,STS-121 (Discovery),,
Lodewijk van den Berg,1996,16,Retired,1932-03-24,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,Captain,US Navy (Retired),1,168,0,0.0,STS 51-B (Challenger),,
Loren J. Shriver,1978,8,Retired,1944-09-23,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0.0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Loren W. Acton,1978,8,Retired,1936-03-07,"Lewiston, MT",Male,Montana State University; University of Colorado,Engineering Physics,Solar Physics,Colonel,US Air Force (Retired),1,190,0,0.0,STS 51-F (Challenger),,
M. Scott Carpenter,1959,1,Retired,1925-05-01,"Boulder, CO",Male,University of Colorado,Aeronautical Engineering,Solar Physics,Commander,US Navy (Retired),1,4,0,0.0,Mercury 7,,
Mae C. Jemison,1987,12,Retired,1956-10-17,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,Commander,US Navy (Retired),1,190,0,0.0,STS-47 (Endeavor),,
Margaret Rhea Seddon,1978,8,Retired,1947-11-08,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,Captain,US Navy,3,722,0,0.0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Mario Runco Jr.,1987,12,Management,1952-01-26,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0.0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",,
Mark C. Lee,1984,10,Retired,1952-08-14,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26.0,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
Mark E. Kelly,1996,16,Retired,1964-02-21,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0.0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
Mark L. Polansky,1996,16,Retired,1956-06-02,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,995,0,0.0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
